country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,88888,3460,60598,24830,1124,2236,87,520008,13081,39751424
Albania,Europe,132437,2453,129807,177,18,46068,853,752527,261764,2874828
Algeria,Africa,132727,3560,92384,36783,25,2976,80,230861,5177,44595470
Andorra,Europe,13813,127,13591,95,3,178504,1641,193595,2501809,77382
Angola,Africa,36455,819,30101,5535,9,1078,24,596451,17634,33823498
Anguilla,North America,109,,109,0,,7205,,22201,1467447,15129
Antigua And Barbuda,North America,1263,42,1214,7,,12797,426,16700,169212,98693
Argentina,South America,4093090,84628,3668672,339790,7839,89787,1856,15067518,330525,45586681
Armenia,Asia,223643,4482,215118,4043,,75339,1510,1122295,378071,2968473
Aruba,North America,11072,107,10950,15,14,103289,998,170318,1588876,107194
Australia,Australia/Oceania,30234,910,29189,135,1,1173,35,19254979,746937,25778568
Austria,Europe,648187,10652,633105,4430,99,71584,1176,47268180,5220188,9054880
Azerbaijan,Asia,335065,4951,328194,1920,,32768,484,3606364,352690,10225321
Bahamas,North America,12092,236,11081,775,3,30475,595,101084,254758,396785
Bahrain,Asia,256921,1196,240529,15196,310,146236,681,4791070,2727021,1756888
Bangladesh,Asia,822849,13032,761916,47901,1126,4950,78,6144773,36964,166235568
Barbados,North America,4033,47,3968,18,,14018,163,175641,610486,287707
Belarus,Europe,403845,2958,396650,4237,,42751,313,6500351,688131,9446386
Belgium,Europe,1074988,25075,992815,57098,302,92375,2155,14455587,1242185,11637225
Belize,North America,12938,325,12463,150,2,31992,804,140905,348418,404414
Benin,Africa,8109,102,7979,28,5,653,8,604310,48652,12420971
Bermuda,North America,2497,33,2455,9,7,40235,532,284965,4591766,62060
Bhutan,Asia,1789,1,1440,348,,2295,1,798573,1024321,779612
Bolivia,South America,400047,15321,315304,69422,200,33837,1296,1611615,136313,11822915
Bosnia And Herzegovina,Europe,204597,9479,177122,17996,,62731,2906,1000580,306784,3261513
Botswana,Africa,59480,896,55617,2967,1,24822,374,1203796,502369,2396237
Brazil,South America,17301220,484350,15718593,1098277,8318,80853,2263,50245852,234811,213984390
British Virgin Islands,North America,248,1,209,38,,8152,33,39777,1307551,30421
Brunei Darussalam,Asia,248,3,239,6,,562,7,133432,302274,441427
Bulgaria,Europe,420213,17893,389368,12952,246,60910,2594,2970624,430591,6898946
Burkina Faso,Africa,13456,167,13268,21,,628,8,191452,8929,21440567
Burundi,Africa,4975,8,773,4194,,407,,309390,25313,12222502
Cabo Verde,Africa,31512,272,30231,1009,23,56104,484,161272,287126,561676
Cambodia,Asia,37959,320,31222,6417,,2241,19,1229187,72575,16936769
Cameroon,Africa,80090,1310,77305,1475,152,2948,48,1718937,63276,27165767
Canada,North America,1399716,25886,1355419,18411,795,36782,680,35581916,935035,38054099
Caribbean Netherlands,North America,1618,17,1598,3,,61165,643,8550,323215,26453
Cayman Islands,North America,592,2,578,12,,8909,30,100813,1517148,66449
Central African Republic,Africa,7101,98,6859,144,2,1447,20,54814,11167,4908729
Chad,Africa,4942,174,4765,3,,293,10,122412,7257,16867510
Channel Islands,Europe,4088,86,3956,46,,23310,490,454413,2591123,175373
Chile,South America,1461419,30472,1382124,48823,3312,75836,1581,15520282,805374,19270893
China Hong Kong Sar,Asia,11875,210,11593,72,1,1572,28,16710131,2211995,7554327
China Macao Sar,Asia,52,,51,1,,79,,4483,6817,657668
China,Asia,91394,4636,86312,446,12,63,3,160000000,111163,1439323776
Colombia,South America,3694707,94615,3435109,164983,6582,71890,1841,18029544,350811,51393873
Comoros,Africa,3894,146,3736,12,,4390,165,,,886998
Congo,Africa,12026,157,11110,759,,2130,28,155793,27596,5645517
Costa Rica,North America,339900,4322,261195,74383,495,66155,841,1309540,254875,5137964
Cote D Ivoire,Africa,47638,306,47135,197,,1765,11,654588,24252,26991087
Croatia,Europe,358379,8123,349049,1207,44,87810,1990,2069520,507072,4081316
Cuba,North America,154866,1065,147553,6248,142,13681,94,4575595,404202,11320084
Curacao,North America,12293,123,12140,30,4,74627,747,118637,720208,164726
Cyprus,Asia,73115,372,71166,1577,15,60145,306,7170941,5898863,1215648
Czech Republic,Europe,1665022,30224,1629375,5423,24,155207,2817,26727347,2491423,10727742
Democratic Republic Of The Congo,Africa,34695,831,27823,6041,,377,9,170396,1850,92111338
Denmark,Europe,289122,2523,276517,10082,23,49750,434,61491074,10581010,5811456
Djibouti,Africa,11571,154,11401,16,,11553,154,164192,163942,1001522
Dominica,North America,189,,188,1,,2619,,17447,241799,72155
Dominican Republic,North America,306698,3700,249637,53361,464,28008,338,1612174,147225,10950421
Ecuador,South America,437121,20997,398645,17479,453,24427,1173,1463134,81762,17895139
Egypt,Africa,271780,15547,199840,56393,90,2610,149,2869589,27553,104148514
El Salvador,North America,75351,2292,70150,2909,18,11562,352,1017902,156190,6517087
Equatorial Guinea,Africa,8640,118,8303,219,7,5975,82,123169,85172,1446117
Eritrea,Africa,4848,16,4278,554,,1349,4,23693,6595,3592624
Estonia,Europe,130418,1266,125528,3624,9,98252,954,1465816,1104294,1327378
Ethiopia,Africa,273892,4235,249471,20186,264,2328,36,2776427,23602,117635168
Faeroe Islands,Europe,754,1,714,39,,15376,20,289915,5912048,49038
Falkland Islands Malvinas,South America,63,,63,0,,17622,,7307,2043916,3575
Fiji,Australia/Oceania,970,4,278,688,2,1075,4,143147,158599,902571
Finland,Europe,93660,964,46000,46696,9,16879,174,5192766,935828,5548849
France,Europe,5733838,110344,5483618,139876,2163,87660,1687,88337210,1350518,65409895
French Guiana,South America,25506,133,9995,15378,33,83369,435,266705,871750,305942
French Polynesia,Australia/Oceania,18930,142,18749,39,1,67023,503,26355,93312,282440
Gabon,Africa,24736,156,23741,839,17,10873,69,839236,368891,2275023
Gambia,Africa,6008,180,5813,15,3,2422,73,81795,32978,2480296
Georgia,Asia,353443,5034,338318,10091,,88762,1264,5337907,1340533,3981930
Germany,Europe,3720811,90398,3573600,56813,1598,44276,1076,62263057,740902,84036849
Ghana,Africa,94444,789,92552,1103,5,2981,25,1205313,38044,31682190
Gibraltar,Europe,4308,94,4200,14,,127906,2791,263683,7828835,33681
Greece,Europe,413954,12381,388931,12642,375,39900,1193,9994319,963317,10374902
Greenland,North America,44,,40,4,,774,,26882,472750,56863
Grenada,North America,161,1,160,0,,1425,9,28684,253807,113015
Guadeloupe,North America,16608,225,2250,14133,23,41500,562,212247,530367,400189
Guatemala,North America,269308,8416,244416,16476,5,14775,462,1487632,81617,18227090
Guinea Bissau,Africa,3802,69,3545,188,4,1890,34,70131,34862,2011654
Guinea,Africa,23366,167,21438,1761,24,1735,12,459255,34103,13466742
Guyana,South America,18196,422,16110,1664,21,23029,534,167085,211464,790134
Haiti,North America,16206,349,12560,3297,,1405,30,78419,6799,11533436
Holy See,Europe,27,,27,0,,33624,,,,803
Honduras,North America,245695,6599,87864,151232,556,24440,656,746796,74287,10052801
Hungary,Europe,806790,29904,724614,52272,51,83717,3103,5962887,618739,9637163
Iceland,Europe,6616,30,6543,43,1,19270,87,702154,2045117,343332
India,Asia,29359155,367097,27911384,1080674,8944,21079,264,376232162,270128,1392790451
Indonesia,Asia,1894025,52566,1735144,106315,,6856,190,17756761,64278,276248772
Iran,Asia,3013078,81796,2624802,306480,3494,35446,962,21313589,250733,85005237
Iraq,Asia,1246860,16668,1164103,66089,431,30359,406,10897905,265350,41069893
Ireland,Europe,266073,4941,249072,12060,23,53324,990,4729538,947851,4989746
Isle Of Man,Europe,1599,29,1563,7,1,18711,339,66925,783133,85458
Israel,Asia,839653,6428,833007,218,36,90034,689,14758111,1582470,9326000
Italy,Europe,4241760,126924,3949597,165239,597,70254,2102,68257459,1130506,60377804
Jamaica,North America,49179,990,27201,20988,9,16540,333,401870,135157,2973365
Japan,Asia,769920,13907,721260,34753,942,6105,110,15247804,120908,126110418
Jordan,Asia,742521,9577,725082,7862,540,72099,930,7508948,729124,10298587
Kazakhstan,Asia,400214,4150,375457,20607,221,21077,219,11575012,609589,18988238
Kenya,Africa,174773,3378,119589,51806,113,3184,62,1858443,33862,54883446
Kuwait,Asia,325014,1813,307512,15689,159,75061,419,2731356,630797,4330005
Kyrgyzstan,Asia,109812,1881,102314,5617,102,16574,284,1187742,179270,6625437
Laos,Asia,1979,3,1827,149,,268,,268285,36378,7374920
Latvia,Europe,135762,2449,130253,3060,59,72738,1312,2770229,1484224,1866449
Lebanon,Asia,542375,7790,526598,7987,78,79802,1146,4574388,673047,6796539
Lesotho,Africa,10853,326,6440,4087,,5029,151,100704,46660,2158261
Liberia,Africa,2484,93,2065,326,2,481,18,111939,21655,5169249
Libya,Africa,188762,3158,174434,11170,,27124,454,1063078,152758,6959252
Liechtenstein,Europe,3024,59,2948,17,3,79098,1543,45301,1184928,38231
Lithuania,Europe,277623,4335,263216,10072,109,103348,1614,3592462,1337329,2686296
Luxembourg,Europe,70406,818,68943,645,3,110778,1287,2972258,4676619,635557
Macedonia,Europe,155507,5470,149612,425,25,74645,2626,826661,396805,2083293
Madagascar,Africa,41869,879,40190,800,95,1476,31,207494,7317,28358680
Malawi,Africa,34470,1158,32709,603,7,1759,59,252082,12866,19593554
Malaysia,Asia,646411,3768,563779,78864,912,19734,115,13120217,400538,32756466
Maldives,Asia,69831,192,56559,13080,90,127082,349,923337,1680334,549496
Mali,Africa,14336,523,9903,3910,,689,25,304661,14649,20797354
Malta,Europe,30579,419,30096,64,,69081,947,949582,2145206,442653
Marshall Islands,Australia/Oceania,4,,4,0,,67,,,,59567
Martinique,North America,12110,98,98,11914,5,32294,261,186858,498301,374990
Mauritania,Africa,20005,473,19043,489,16,4199,99,282232,59239,4764263
Mauritius,Africa,1566,18,1243,305,,1229,14,358675,281587,1273761
Mayotte,Africa,20176,173,2964,17039,6,72317,620,176919,634136,278992
Mexico,North America,2448820,229821,1948268,270731,4798,18807,1765,7206669,55347,130209100
Micronesia,Australia/Oceania,1,,1,0,,9,,,,116159
Moldova,Europe,255715,6149,248501,1065,53,63530,1528,1162718,288867,4025101
Monaco,Europe,2520,33,2473,14,1,63791,835,51953,1315133,39504
Mongolia,Asia,73896,351,56449,17096,126,22205,105,3050108,916512,3327951
Montenegro,Europe,99914,1597,97844,473,60,159063,2542,427817,681084,628141
Montserrat,North America,20,1,19,0,,4004,200,1408,281882,4995
Morocco,Africa,523165,9202,510623,3340,107,14017,247,6612440,177170,37322618
Mozambique,Africa,71355,840,69878,637,17,2225,26,565793,17639,32076119
Myanmar,Asia,145064,3239,132765,9060,,2649,59,2641919,48251,54753832
Namibia,Africa,62806,973,53734,8099,68,24304,377,462097,178819,2584165
Nepal,Asia,604396,8305,520816,75275,,20398,280,3198702,107957,29629496
Netherlands,Europe,1670498,17708,1560046,92744,289,97288,1031,14248931,829841,17170672
New Caledonia,Australia/Oceania,128,,58,70,,444,,33057,114747,288085
New Zealand,Australia/Oceania,2702,26,2647,29,,540,5,2186193,437055,5002100
Nicaragua,North America,7662,188,4225,3249,,1144,28,,,6698786
Niger,Africa,5446,192,5161,93,2,218,8,111417,4452,25025730
Nigeria,Africa,167051,2117,163430,1504,11,792,10,2180444,10337,210932837
Norway,Europe,127874,789,88952,38133,11,23415,144,5847413,1070717,5461212
Oman,Asia,230219,2467,207795,19957,345,44032,472,1550000,296455,5228445
Pakistan,Asia,939931,21633,875581,42717,2760,4179,96,13781668,61273,224922985
Panama,North America,386269,6427,371015,8827,105,88216,1468,2776097,634005,4378667
Papua New Guinea,Australia/Oceania,16621,164,15942,515,7,1825,18,125919,13828,9106314
Paraguay,South America,387687,10561,319572,57554,618,53733,1464,1395831,193461,7215047
Peru,South America,1998056,188100,,,2597,59815,5631,13371116,400283,33404191
Philippines,Asia,1300349,22507,1216497,61345,1704,11720,203,13989704,126085,110954199
Poland,Europe,2877007,74515,2647688,154804,350,76096,1971,16522649,437021,37807440
Portugal,Europe,855951,17044,814318,24589,72,84176,1676,12266241,1206286,10168602
Qatar,Asia,219466,574,216483,2409,87,78163,204,2071976,737934,2807805
Reunion,Africa,27235,212,25088,1935,35,30216,235,102720,113964,901338
Romania,Europe,1079530,31681,1043803,4046,255,56472,1657,9348322,489024,19116269
Russia,Europe,5180454,125674,4782183,272597,2300,35484,861,141900000,971961,145993575
Rwanda,Africa,27862,368,26341,1153,6,2102,28,1493767,112708,13253433
Saint Barthelemy,North America,1005,1,462,542,,101464,101,26385,2663806,9905
Saint Helena,Africa,2,,2,0,,328,,,,6094
Saint Kitts And Nevis,North America,83,,51,32,,1550,,16831,314281,53554
Saint Lucia,North America,5168,80,4968,120,1,28023,434,50412,273356,184419
Saint Martin,North America,2040,12,1399,629,7,51927,305,27588,702235,39286
Saint Pierre And Miquelon,North America,25,,25,0,,4335,,5736,994625,5767
Saint Vincent And The Grenadines,North America,2132,12,1889,231,2,19160,108,50891,457353,111273
Samoa,Australia/Oceania,3,,3,0,,15,,,,199658
San Marino,Europe,5090,90,4998,2,,149715,2647,66865,1966733,33998
Sao Tome And Principe,Africa,2356,37,2306,13,,10566,166,14270,63996,222984
Saudi Arabia,Asia,463703,7537,446054,10112,1559,13127,213,20203947,571961,35323967
Senegal,Africa,41900,1150,40449,301,9,2442,67,534832,31172,17157677
Serbia,Europe,714634,6951,702994,4689,19,82103,799,4259803,489402,8704091
Seychelles,Africa,12973,46,11634,1293,,131145,465,21504,217386,98921
Sierra Leone,Africa,4312,82,3169,1061,,530,10,153646,18900,8129382
Singapore,Asia,62245,34,61799,412,1,10561,6,12366898,2098316,5893725
Sint Maarten,North America,2518,31,2414,73,2,58105,715,28642,660944,43335
Slovakia,Europe,390893,12433,377007,1453,48,71564,2276,2883850,527971,5462140
Slovenia,Europe,256224,4398,248743,3083,48,123232,2115,1313619,631788,2079208
Solomon Islands,Australia/Oceania,20,,20,0,,28,,4500,6404,702688
Somalia,Africa,14779,774,7016,6989,,906,47,138028,8463,16308802
South Africa,Africa,1730106,57592,1598293,74221,546,28829,960,12092681,201502,60012828
South Korea,Asia,147422,1982,138037,7403,155,2873,39,10140535,197629,51310862
South Sudan,Africa,10688,115,10514,59,,944,10,164472,14533,11317335
Spain,Europe,3733600,80501,3509730,143369,966,79826,1721,51240666,1095544,46771885
Sri Lanka,Asia,218923,2073,184090,32760,,10183,96,3633410,169012,21497986
State Of Palestine,Asia,311018,3524,302944,4550,18,59665,676,1853771,355624,5212723
Sudan,Africa,36203,2719,29841,3643,,808,61,232965,5199,44810191
Suriname,South America,17799,390,13664,3745,35,30087,659,69259,117073,591587
Swaziland,Africa,18723,676,17938,109,10,15982,577,216482,184793,1171483
Sweden,Europe,1083456,14537,1018539,50380,118,106653,1431,10239089,1007916,10158668
Switzerland,Europe,700051,10859,666384,22808,88,80334,1246,7945174,911739,8714309
Syria,Asia,24767,1806,21663,1298,,1384,101,103566,5786,17899562
Taiwan,Asia,12746,411,1133,11202,,534,17,1197200,50181,23857483
Tajikistan,Asia,13308,90,13218,0,,1366,9,,,9738767
Tanzania,Africa,509,21,183,305,7,8,,,,61328577
Thailand,Asia,193105,1431,150271,41403,1169,2760,20,8124896,116127,69965349
Timor Leste,Asia,8145,18,6511,1616,,6069,13,92122,68643,1342046
Togo,Africa,13597,126,13294,177,,1607,15,344421,40708,8460832
Trinidad And Tobago,North America,28106,644,18009,9453,22,20022,459,206150,146855,1403766
Tunisia,Africa,364819,13365,319475,31979,424,30567,1120,1549014,129786,11935141
Turkey,Asia,5319359,48593,5192945,77821,1009,62438,570,56570784,664022,85194096
Turks And Caicos Islands,North America,2421,18,2387,16,2,61744,459,94789,2417470,39210
Uganda,Africa,58515,408,47760,10347,24,1243,9,1178182,25018,47093315
UK,Europe,4550944,127884,4284733,138327,158,66707,1875,193264021,2832849,68222484
Ukraine,Europe,2222701,51646,2125685,45370,177,51114,1188,10460411,240551,43485203
United Arab Emirates,Asia,593894,1720,573194,18980,,59372,172,52853775,5283821,10002945
Uruguay,South America,333484,4906,293332,35246,466,95689,1408,2507090,719375,3485094
USA,North America,34306446,614738,28346324,5345384,4925,103074,1847,493246114,1481959,332833770
Uzbekistan,Asia,103206,705,99152,3349,23,3042,21,1377915,40616,33925709
Vanuatu,Australia/Oceania,4,1,3,0,,13,3,23000,73276,313881
Venezuela,South America,248820,2797,228998,17025,291,8774,99,3359014,118443,28359773
Viet Nam,Asia,10137,58,3804,6275,,103,,6282417,63999,98164129
Wallis And Futuna Islands,Australia/Oceania,445,7,438,0,,40264,633,20508,1855592,11052
Western Sahara,Africa,10,1,8,1,,16,2,,,611118
Yemen,Asia,6856,1342,3697,1817,23,225,44,78099,2565,30442770
Zambia,Africa,107974,1348,95674,10952,456,5723,71,1670458,88541,18866484
Zimbabwe,Africa,39688,1629,36970,1089,2,2634,108,592620,39334,15066546
